catchment_id,pixel_count,area_km2,mean_slope,mean_flow_accum,max_flow_accum,drainage_density
C41,1354,1.219,76.24,29.62,1354.0,0.123
C42,2264,2.038,80.45,38.58,2264.0,0.368
C43,1826,1.643,80.18,38.03,1826.0,0.347
C44,1423,1.281,81.78,30.97,1423.0,0.258
C45,1446,1.301,84.6,29.11,1446.0,0.092
C46,1309,1.178,84.22,38.53,1309.0,0.229
C47,1263,1.137,80.79,23.19,1263.0,0.026
C48,2589,2.33,84.25,49.96,2589.0,0.528
C49,1365,1.228,82.87,23.16,1365.0,0.049
C50,1974,1.777,84.13,35.35,1974.0,0.355
C51,1667,1.5,83.5,29.57,1667.0,0.04
C52,1844,1.66,84.36,32.79,1844.0,0.235
C53,2025,1.822,84.02,33.12,2025.0,0.28
C54,1669,1.502,84.64,32.86,1669.0,0.22
C55,2035,1.832,84.47,41.93,2035.0,0.508
C56,1421,1.279,86.58,24.72,1421.0,0.023
C57,1445,1.3,84.98,26.32,1445.0,0.161
C58,1401,1.261,85.62,31.3,1401.0,0.048
C59,1714,1.543,84.79,26.44,1714.0,0.078
C60,1355,1.22,85.07,25.6,1355.0,0.074
C61,2509,2.258,86.03,47.47,2509.0,0.531
C62,1338,1.204,86.25,25.32,1338.0,0.025
C63,1374,1.237,86.41,39.74,1374.0,0.315
C64,1956,1.76,85.41,37.95,1956.0,0.426
C65,1652,1.487,85.62,26.57,1652.0,0.101
C66,1444,1.3,86.7,28.32,1444.0,0.185
C67,2361,2.125,86.52,34.48,2361.0,0.212
C68,2181,1.963,86.47,38.92,2181.0,0.443
C69,2167,1.95,87.21,37.95,2167.0,0.154
C70,1469,1.322,86.95,20.84,1469.0,0.045
C71,1875,1.688,87.25,28.73,1875.0,0.124
C72,1295,1.166,87.19,40.71,1295.0,0.36
C73,1360,1.224,87.54,28.88,1360.0,0.147
C74,1391,1.252,88.45,32.54,1391.0,0.168
C75,1729,1.556,88.73,29.78,1729.0,0.174
C76,1390,1.251,89.53,27.22,1390.0,0.048
C77,1739,1.565,89.55,39.81,1739.0,0.403
C78,1457,1.311,89.21,34.82,1457.0,0.252
C79,2100,1.89,89.41,38.38,2100.0,0.365
C80,1382,1.244,89.58,25.43,1382.0,0.024
C81,1312,1.181,89.29,30.73,1312.0,0.203
C82,1702,1.532,89.43,33.09,1702.0,0.333
C83,1601,1.441,88.36,34.05,1601.0,0.291
C84,1969,1.772,88.54,27.88,1969.0,0.203
C85,1449,1.304,87.84,29.14,1449.0,0.207
C86,1590,1.431,88.8,26.88,1590.0,0.147
C87,2065,1.858,88.19,46.02,2065.0,0.533
C88,1320,1.188,86.84,27.17,1320.0,0.152
C89,2216,1.994,87.99,37.16,2216.0,0.241
C90,2601,2.341,86.79,40.45,2601.0,0.436
C91,1277,1.149,87.62,35.62,1277.0,0.183
C92,1321,1.189,86.44,22.21,1321.0,0.025
C93,1250,1.125,85.8,27.7,1250.0,0.053
C94,1551,1.396,85.49,31.28,1551.0,0.236
C95,1553,1.398,83.33,32.74,1553.0,0.279
C96,1311,1.18,84.59,23.2,1311.0,0.025
C97,2479,2.231,83.05,42.68,2479.0,0.39
C98,3281,2.953,81.15,59.47,3281.0,0.62
C99,1868,1.681,79.65,26.03,1868.0,0.196
C100,1609,1.448,82.18,26.0,1609.0,0.104
C101,1380,1.242,80.8,27.71,1380.0,0.193
C102,1817,1.635,81.36,44.79,1817.0,0.385
C103,3971,3.574,80.51,47.08,3971.0,0.344
C104,1540,1.386,78.66,29.44,1540.0,0.195
C105,1214,1.093,78.25,26.05,1214.0,0.027
C106,1491,1.342,79.51,26.81,1491.0,0.134
C107,1810,1.629,77.59,32.61,1810.0,0.276
C108,1337,1.203,78.47,28.47,1337.0,0.249
C109,1357,1.221,76.4,36.76,1357.0,0.246
C110,1628,1.465,74.89,26.33,1628.0,0.102
C111,1229,1.106,75.3,23.57,1229.0,0.054
C112,1322,1.19,67.84,22.55,1322.0,0.025
C113,1668,1.501,69.81,31.82,1668.0,0.06
C114,1318,1.186,66.22,36.95,1318.0,0.253
C115,1482,1.334,70.7,22.85,1482.0,0.067
C116,1428,1.285,71.19,30.97,1428.0,0.093
C117,1230,1.107,68.22,26.82,1230.0,0.054
C118,2510,2.259,45.54,51.93,2510.0,0.531
C121,846,0.761,87.04,126.17,5311.0,0.788
